,farm_pig_no,gyobae_dt,one_now_kg,two_now_kg,three_now_kg,four_now_kg,five_now_kg,day_now_kg,B_now_kg,next_jae,next_chongsan,next_silsan,next_eudusu
509,530,2018-03-12,2,7,7,0,0,16.0,1170.0,5.0,8,7,6
539,530,2018-03-12,10,10,10,0,0,30.0,1170.0,5.0,8,7,6
569,530,2018-03-12,0,0,0,0,0,0.0,1170.0,5.0,8,7,6
585,530,2018-03-12,2,13,17,0,0,32.0,1170.0,5.0,8,7,6
601,530,2018-03-12,9,12,15,15,0,51.0,1170.0,5.0,8,7,6
619,530,2018-03-12,9,12,15,15,2,53.0,1170.0,5.0,8,7,6
637,530,2018-03-12,8,15,18,10,11,62.0,1170.0,5.0,8,7,6
655,530,2018-03-12,11,14,18,18,11,72.0,1170.0,5.0,8,7,6
673,530,2018-03-12,12,16,20,20,12,80.0,1170.0,5.0,8,7,6
700,530,2018-03-12,10,2,20,20,12,64.0,1170.0,5.0,8,7,6
727,530,2018-03-12,13,18,22,12,13,78.0,1170.0,5.0,8,7,6
754,530,2018-03-12,13,18,18,10,13,72.0,1170.0,5.0,8,7,6
781,530,2018-03-12,13,18,22,18,13,84.0,1170.0,5.0,8,7,6
808,530,2018-03-12,2,18,12,22,13,67.0,1170.0,5.0,8,7,6
835,530,2018-03-12,13,18,16,22,13,82.0,1170.0,5.0,8,7,6
862,530,2018-03-12,6,4,2,22,13,47.0,1170.0,5.0,8,7,6
889,530,2018-03-12,13,18,22,22,13,88.0,1170.0,5.0,8,7,6
916,530,2018-03-12,13,18,2,2,2,37.0,1170.0,5.0,8,7,6
943,530,2018-03-12,2,18,8,8,2,38.0,1170.0,5.0,8,7,6
970,530,2018-03-12,13,18,2,10,2,45.0,1170.0,5.0,8,7,6
997,530,2018-03-12,12,18,2,2,2,36.0,1170.0,5.0,8,7,6
1024,530,2018-03-12,2,18,2,2,2,26.0,1170.0,5.0,8,7,6
1051,530,2018-03-12,2,2,2,2,2,10.0,1170.0,5.0,8,7,6
494,531,2018-03-13,0,0,0,0,0,0.0,885.0,5.0,9,8,7
524,531,2018-03-13,0,0,0,0,0,0.0,885.0,5.0,9,8,7
554,531,2018-03-13,0,0,0,0,0,0.0,885.0,5.0,9,8,7
570,531,2018-03-13,0,0,14,14,8,36.0,885.0,5.0,9,8,7
586,531,2018-03-13,8,11,14,2,0,35.0,885.0,5.0,9,8,7
602,531,2018-03-13,8,11,2,14,9,44.0,885.0,5.0,9,8,7
620,531,2018-03-13,6,4,14,14,9,47.0,885.0,5.0,9,8,7
638,531,2018-03-13,9,10,16,16,4,55.0,885.0,5.0,9,8,7
656,531,2018-03-13,9,13,16,4,2,44.0,885.0,5.0,9,8,7
683,531,2018-03-13,10,14,2,17,10,53.0,885.0,5.0,9,8,7
710,531,2018-03-13,10,4,17,4,2,37.0,885.0,5.0,9,8,7
737,531,2018-03-13,4,14,17,6,10,51.0,885.0,5.0,9,8,7
764,531,2018-03-13,10,2,17,16,8,53.0,885.0,5.0,9,8,7
791,531,2018-03-13,10,2,17,17,10,56.0,885.0,5.0,9,8,7
818,531,2018-03-13,10,2,12,17,10,51.0,885.0,5.0,9,8,7
845,531,2018-03-13,2,8,2,17,10,39.0,885.0,5.0,9,8,7
872,531,2018-03-13,6,14,17,17,10,64.0,885.0,5.0,9,8,7
899,531,2018-03-13,4,14,17,16,10,61.0,885.0,5.0,9,8,7
926,531,2018-03-13,10,6,10,17,10,53.0,885.0,5.0,9,8,7
953,531,2018-03-13,2,6,8,2,4,22.0,885.0,5.0,9,8,7
980,531,2018-03-13,4,14,14,14,8,54.0,885.0,5.0,9,8,7
1007,531,2018-03-13,2,12,2,2,2,20.0,885.0,5.0,9,8,7
1034,531,2018-03-13,2,2,2,2,2,10.0,885.0,5.0,9,8,7
2518,2960,2018-06-05,2,2,2,0,0,6.0,891.0,5.0,11,7,0
2552,2960,2018-06-05,17,17,14,0,0,48.0,891.0,5.0,11,7,0
2586,2960,2018-06-05,2,2,2,2,9,17.0,891.0,5.0,11,7,0
2620,2960,2018-06-05,9,12,15,15,9,60.0,891.0,5.0,11,7,0
2654,2960,2018-06-05,2,14,17,2,2,37.0,891.0,5.0,11,7,0
2688,2960,2018-06-05,2,14,2,17,10,45.0,891.0,5.0,11,7,0
2722,2960,2018-06-05,2,2,20,2,2,28.0,891.0,5.0,11,7,0
2756,2960,2018-06-05,2,16,2,2,2,24.0,891.0,5.0,11,7,0
2790,2960,2018-06-05,2,18,18,16,2,56.0,891.0,5.0,11,7,0
2824,2960,2018-06-05,2,2,20,2,14,40.0,891.0,5.0,11,7,0
2858,2960,2018-06-05,0,0,0,0,0,0.0,891.0,5.0,11,7,0
2891,2960,2018-06-05,2,20,25,2,2,51.0,891.0,5.0,11,7,0
2924,2960,2018-06-05,15,2,24,4,15,60.0,891.0,5.0,11,7,0
2957,2960,2018-06-05,10,2,18,2,15,47.0,891.0,5.0,11,7,0
2990,2960,2018-06-05,15,18,25,6,2,66.0,891.0,5.0,11,7,0
3023,2960,2018-06-05,15,2,25,22,2,66.0,891.0,5.0,11,7,0
3056,2960,2018-06-05,2,20,2,25,15,64.0,891.0,5.0,11,7,0
3089,2960,2018-06-05,2,16,25,8,2,53.0,891.0,5.0,11,7,0
3122,2960,2018-06-05,15,2,25,8,2,52.0,891.0,5.0,11,7,0
3155,2960,2018-06-05,15,20,18,16,2,71.0,891.0,5.0,11,7,0
5,37-76,2018-02-20,10,10,10,0,0,30.0,1010.0,47.0,16,15,5
